 0.00  153  11
42.00  153  12
42.00  153  13
42.00  153  14
 0.00  153  21
42.00  153  22
42.00  153  23
42.00  153  24
 0.00  153  31
42.00  153  32
42.00  153  33
42.00  153  34
 0.00  153  41
42.00  153  42
42.00  153  43
42.00  153  44
 0.00  153  51
56.18  153  52
53.33  153  53
54.38  153  54
 0.00  153  61
52.91  153  62
52.55  153  63
53.83  153  64
 0.00  153  71
42.00  153  72
42.00  153  73
42.00  153  74
 0.00  152  11
41.91  152  12
41.37  152  13
41.42  152  14
 0.00  152  21
 0.00  152  22
 0.00  152  23
 0.00  152  24
 0.00  152  31
 0.00  152  32
 0.00  152  33
 0.00  152  34
 0.00  152  41
 0.00  152  42
 0.00  152  43
 0.00  152  44
50.00  152  51
47.52  152  52
47.46  152  53
49.03  152  54
44.00  152  61
47.19  152  62
48.05  152  63
49.77  152  64
 0.00  152  71
48.03  152  72
47.48  152  73
48.35  152  74
 0.00  338  11
 0.00  338  12
 0.00  338  13
 0.00  338  14
 0.00  338  21
 0.00  338  22
 0.00  338  23
 0.00  338  24
 0.00  338  31
 0.00  338  32
 0.00  338  33
 0.00  338  34
 0.00  338  41
 0.00  338  42
 0.00  338  43
 0.00  338  44
36.00  338  51
37.35  338  52
38.31  338  53
38.56  338  54
 0.00  338  61
 0.00  338  62
 0.00  338  63
 0.00  338  64
 0.00  338  71
 0.00  338  72
 0.00  338  73
 0.00  338  74
 0.00  115  11
41.25  115  12
43.97  115  13
48.41  115  14
 0.00  115  21
36.00  115  22
38.59  115  23
48.22  115  24
 0.00  115  31
36.00  115  32
38.59  115  33
48.22  115  34
 0.00  115  41
 0.00  115  42
 0.00  115  43
 0.00  115  44
65.89  115  51
49.00  115  52
51.57  115  53
55.87  115  54
 0.00  115  61
49.60  115  62
52.21  115  63
52.11  115  64
 0.00  115  71
40.11  115  72
45.30  115  73
45.30  115  74
 0.00   61  11
 0.00   61  12
 0.00   61  13
 0.00   61  14
 0.00   61  21
 0.00   61  22
 0.00   61  23
 0.00   61  24
 0.00   61  31
 0.00   61  32
 0.00   61  33
 0.00   61  34
 0.00   61  41
 0.00   61  42
 0.00   61  43
 0.00   61  44
 0.00   61  51
37.57   61  52
39.63   61  53
39.16   61  54
 0.00   61  61
 0.00   61  62
 0.00   61  63
 0.00   61  64
 0.00   61  71
 0.00   61  72
 0.00   61  73
 0.00   61  74
 0.00  272  11
32.43  272  12
36.24  272  13
36.95  272  14
 0.00  272  21
32.00  272  22
37.42  272  23
37.53  272  24
 0.00  272  31
32.00  272  32
37.42  272  33
37.53  272  34
 0.00  272  41
31.33  272  42
32.00  272  43
32.25  272  44
39.00  272  51
39.00  272  52
38.38  272  53
39.04  272  54
